Abbey Malt                                          ,German        ,Grain         ,Base malt       ,17  ,33
Acerola                                             ,              ,Fruit         ,Fruit           ,0   ,1.5
Acidulated Malt                                     ,German        ,Grain         ,Acidulated malt ,3   ,27
Agave Nectar                                        ,              ,Sugar         ,Sugar           ,2   ,35
Ale Malt                                            ,Ireland       ,Grain         ,Base malt       ,3   ,37
Ale Malt                                            ,New Zealand   ,Grain         ,Base malt       ,3   ,37.4
Amber                                               ,United Kingdom,Grain         ,Base malt       ,27  ,32
American Ale Malt                                   ,New Zealand   ,Grain         ,Base malt       ,3   ,37.3
Apple                                               ,              ,Fruit         ,Fruit           ,0   ,5.6
Apricot                                             ,              ,Fruit         ,Fruit           ,0   ,4.05
Apricot (dried)                                     ,              ,Fruit         ,Fruit           ,0   ,17.9
Aromatic                                            ,Belgian       ,Grain         ,Roasted malt    ,38  ,33
Aromatic Malt                                       ,American      ,Grain         ,Base malt       ,20  ,35
Aurora Malt                                         ,New Zealand   ,Grain         ,Base malt       ,29  ,37.2
Banana                                              ,              ,Fruit         ,Fruit           ,0   ,7.65
Belgian Candi Sugar - Amber/Brown (60L)             ,              ,Sugar         ,Sugar           ,60  ,38
Belgian Candi Sugar - Clear/Blond (0L)              ,              ,Sugar         ,Sugar           ,0   ,38
Belgian Candi Sugar - Dark (275L)                   ,              ,Sugar         ,Sugar           ,275 ,38
Biscuit                                             ,Belgian       ,Grain         ,Roasted malt    ,23  ,35
Biscuit Malt                                        ,New Zealand   ,Grain         ,Roasted malt    ,30  ,35
Black Barley                                        ,American      ,Grain         ,Roasted malt    ,530 ,27
Black Malt                                          ,American      ,Grain         ,Roasted malt    ,500 ,28
Black Malt                                          ,Finland       ,Grain         ,Roasted malt    ,526 ,30
Black Patent                                        ,United Kingdom,Grain         ,Roasted malt    ,525 ,27
Blackberry                                          ,              ,Fruit         ,Fruit           ,0   ,3.6
Blackprinz                                          ,American      ,Grain         ,Roasted malt    ,500 ,36
Blueberry                                           ,              ,Fruit         ,Fruit           ,0   ,4.95
Bohemian Pilsner                                    ,German        ,Grain         ,Base malt       ,2   ,38
Bonlander Munich                                    ,American      ,Grain         ,Base malt       ,10  ,36
Boysenberry                                         ,              ,Fruit         ,Fruit           ,0   ,2.5
Brewers Crystals                                    ,American      ,Adjunct       ,Sugar           ,2   ,44
Brown                                               ,United Kingdom,Grain         ,Roasted malt    ,65  ,32
Brown Malt                                          ,New Zealand   ,Grain         ,Roasted malt    ,90  ,34
Brown Rice Syrup - Gluten Free                      ,              ,Sugar         ,Raw             ,2   ,44
Brown Sugar                                         ,              ,Sugar         ,Sugar           ,15  ,45
Buckwheat Malt - Gluten Free                        ,American      ,Grain         ,Gluten-free malt,2   ,25
Cane Sugar                                          ,              ,Sugar         ,Sugar           ,0   ,46
Cantaloupe                                          ,              ,Fruit         ,Fruit           ,0   ,3.4
Cara 20L                                            ,Belgian       ,Grain         ,Crystal malt    ,22  ,34
Cara 45L                                            ,Belgian       ,Grain         ,Crystal malt    ,42  ,34
Cara Malt                                           ,United Kingdom,Grain         ,Crystal malt    ,18  ,35
Cara Pale                                           ,Finland       ,Grain         ,Crystal malt    ,4   ,35
Cara Plus 100                                       ,Finland       ,Grain         ,Crystal malt    ,38  ,35
Cara Plus 150                                       ,Finland       ,Grain         ,Crystal malt    ,57  ,35
Cara Plus 200                                       ,Finland       ,Grain         ,Crystal malt    ,76  ,35
Cara Plus 250                                       ,Finland       ,Grain         ,Crystal malt    ,94  ,35
CaraAmber                                           ,German        ,Grain         ,Crystal malt    ,23  ,34
CaraAroma                                           ,German        ,Grain         ,Crystal malt    ,130 ,34
CaraBohemian                                        ,German        ,Grain         ,Crystal malt    ,75  ,33
CaraBrown                                           ,American      ,Grain         ,Roasted malt    ,55  ,34
CaraCrystal Wheat Malt                              ,American      ,Grain         ,Crystal malt    ,55  ,34
Carafa I                                            ,German        ,Grain         ,Roasted malt    ,340 ,32
Carafa II                                           ,German        ,Grain         ,Roasted malt    ,425 ,32
Carafa III                                          ,German        ,Grain         ,Roasted malt    ,535 ,32
CaraFoam                                            ,German        ,Grain         ,Crystal malt    ,2   ,37
CaraHell                                            ,German        ,Grain         ,Crystal malt    ,11  ,34
Carambola                                           ,              ,Fruit         ,Fruit           ,0   ,1.95
Caramel / Crystal 10L                               ,American      ,Grain         ,Crystal malt    ,10  ,35
Caramel / Crystal 120L                              ,American      ,Grain         ,Crystal malt    ,120 ,33
