Altbier                         ,Amber Bitter European Lager  ,7B ,25   ,50 ,4,6 ,1.008,1.014,2.16,3.09,14
Alternative Grain Beer          ,Alternative Fermentables Beer,31A,0    ,0  ,0,0 ,0    ,0    ,0   ,0   ,0
Alternative Sugar Beer          ,Alternative Fermentables Beer,31B,0    ,0  ,0,0 ,0    ,0    ,0   ,0   ,0
American Amber Ale              ,Amber and Brown American Beer,19A,25   ,40 ,5,6 ,1.01 ,1.015,2.26,2.78,14
American Barleywine             ,Strong American Ale          ,22C,50   ,100,8,12,1.016,1.03 ,1.3 ,2.3 ,15
American Brown Ale              ,Amber and Brown American Beer,19C,20   ,30 ,4,6 ,1.01 ,1.016,2.26,2.78,27
American IPA                    ,IPA                          ,21A,40   ,70 ,6,8 ,1.008,1.014,2   ,2.5 ,10
American Lager                  ,Standard American Beer       ,1B ,8    ,12 ,4,5 ,1.004,1.01 ,2.57,2.73,3
American Light Lager            ,Standard American Beer       ,1A ,8    ,12 ,3,4 ,0.998,1.008,2.57,2.73,3
American Pale Ale               ,Pale American Ale            ,18B,30   ,50 ,5,6 ,1.01 ,1.015,2.26,2.78,8
American Porter                 ,American Porter and Stout    ,20A,25   ,50 ,5,7 ,1.012,1.018,2.5 ,3   ,31
American Stout                  ,American Porter and Stout    ,20B,35   ,75 ,5,7 ,1.01 ,1.022,2.5 ,3   ,35
American Strong Ale             ,Strong American Ale          ,22B,50   ,100,6,10,1.014,1.024,2   ,2.25,13
American Wheat Beer             ,Standard American Beer       ,1D ,15   ,30 ,4,6 ,1.008,1.013,2.3 ,2.6 ,5
Australian Sparkling Ale        ,Pale Commonwealth Beer       ,12B,20   ,35 ,5,6 ,1.004,1.006,3.5 ,3.5 ,6
Autumn Seasonal Beer            ,Spiced Beer                  ,30B,0    ,0  ,5,0 ,0    ,0    ,0   ,0   ,0
Baltic Porter                   ,Strong European Beer         ,9C ,20   ,40 ,7,10,1.016,1.024,2.2 ,2.2 ,24
Belgian Blond Ale               ,Strong Belgian Ale           ,25A,15   ,30 ,6,8 ,1.008,1.018,3   ,4   ,6
Belgian Dark Strong Ale         ,Trappist Ale                 ,26D,20   ,35 ,8,12,1.01 ,1.024,3.3 ,4   ,17
Belgian Dubbel                  ,Trappist Ale                 ,26B,15   ,25 ,6,8 ,1.008,1.018,3   ,4   ,14
Belgian Golden Strong Ale       ,Strong Belgian Ale           ,25C,22   ,35 ,8,11,1.005,1.016,3   ,4   ,5
Belgian Pale Ale                ,Belgian Ale                  ,24B,20   ,30 ,5,6 ,1.01 ,1.014,2.5 ,2.5 ,11
Belgian Tripel                  ,Trappist Ale                 ,26C,20   ,40 ,8,10,1.008,1.014,3   ,4   ,6
Berliner Weisse                 ,European Sour Ale            ,23A,3    ,8  ,3,4 ,1.003,1.006,3.5 ,4   ,3
Best Bitter                     ,British Bitter               ,11B,25   ,40 ,4,5 ,1.008,1.012,0.75,1.3 ,12
Biere de Garde                  ,Belgian Ale                  ,24C,18   ,28 ,6,9 ,1.008,1.016,3.3 ,3.3 ,13
Blonde Ale                      ,Pale American Ale            ,18A,15   ,28 ,4,6 ,1.008,1.013,2.3 ,2.6 ,5
