Lallemand                                    ,Lallemand               ,                                        ,Wilds & Sours     ,Low      ,0    ,86  ,104
Coopers Ale                                  ,Coopers                 ,                                        ,Ale               ,High     ,0.72 ,68  ,80
Doric Ale                                    ,Doric                   ,                                        ,Ale               ,Medium   ,0.74 ,62  ,72
Edme Ale                                     ,Edme                    ,                                        ,Ale               ,Medium   ,0.74 ,62  ,70
Gervin Ale (by Muntons) GV                   ,Munton                  ,GV-12                                   ,Ale               ,High     ,0.77 ,57  ,70
Munton and Fison                             ,Munton                  ,                                        ,Ale               ,High     ,0.72 ,64  ,70
Muntons Premium Gold                         ,Munton                  ,                                        ,Ale               ,High     ,0.78 ,57  ,77
American Ale                                 ,Bio4                    ,SY025                                   ,Ales              ,Medium   ,0.77 ,59  ,71.6
London ESB                                   ,Bio4                    ,SY030                                   ,Ales              ,High     ,0.71 ,64.4,71.6
BBAUR – AURORA                               ,Bootleg Biology         ,Aurora                                  ,Ales              ,Medium   ,0.81 ,75  ,98
BBXNPA                                       ,Bootleg Biology         ,NEEPAH                                  ,Ales              ,Low      ,0.8  ,66  ,70
Brulosophy Blend                             ,Bootleg Biology         ,                                        ,Ales              ,Medium   ,0.76 ,50  ,68
Chardonnay                                   ,Bootleg Biology         ,BB99301A                                ,S. boulardii      ,Low      ,0.7  ,65  ,75
Funk Weapon #1                               ,Bootleg Biology         ,BB0022                                  ,B. bruxellensis   ,Low      ,0.8  ,65  ,75
Funk Weapon #2                               ,Bootleg Biology         ,BB0035C                                 ,B. bruxellensis   ,Low      ,0.8  ,65  ,75
Funk Weapon #3                               ,Bootleg Biology         ,BB0022                                  ,B. bruxellensis   ,Low      ,0.8  ,65  ,75
OSLO                                         ,Bootleg Biology         ,OSLO                                    ,Norwegian Ales    ,Medium   ,0.82 ,64  ,105
S. arlingtonesis                             ,Bootleg Biology         ,BB22204                                 ,Ale               ,Medium   ,0.85 ,60  ,75
Saison Parfait                               ,Bootleg Biology         ,BBX0104                                 ,Ale               ,Medium   ,0.9  ,65  ,85
Sour Solera Blend                            ,Bootleg Biology         ,BBXSS                                   ,Blend             ,Medium   ,0.95 ,65  ,75
Sour Weapon L                                ,Bootleg Biology         ,                                        ,Wilds & Sours     ,Low      ,0    ,84  ,98
